kod_stacji,nazwa,lon,lat,kategoria,zrodlo,wysokosc_npm,rok_zalozenia
250220120,JAROCIN,22.306667,50.568611,IMGW - stacja klimatologiczna,IMGW-PIB,183,1972
250220080,FRAMPOL,22.666111,50.675,IMGW - posterunek opadowy,IMGW-PIB,243,1948
250230160,CIESZANÓW,23.118056,50.233611,IMGW - stacja klimatologiczna,IMGW-PIB,217,2004
250220220,JAROSŁAW,22.7025,50.021111,IMGW - posterunek opadowy,IMGW-PIB,180,2005
251160190,LUBIN,16.216944,51.411944,IMGW - brak bieżących danych,IMGW-PIB,131,1947
249180550,CIESZYN,18.609167,49.775,IMGW - stacja klimatologiczna,IMGW-PIB,255,2019
349200628,HALA GĄSIENICOWA,20.005833,49.243889,IMGW - stacja synoptyczna,IMGW-PIB,1523,1913
252150270,BABIMOST,15.803333,52.143611,IMGW - stacja klimatologiczna,IMGW-PIB,57,2007
250150530,ŚWIERADÓW-ZDRÓJ II,15.325556,50.905833,IMGW - stacja klimatologiczna,IMGW-PIB,595,2020
253140060,GOLENIÓW,14.888333,53.593889,IMGW - stacja klimatologiczna,IMGW-PIB,34,1967
249210140,DUKLA,21.680556,49.566944,IMGW - stacja klimatologiczna,IMGW-PIB,385,1946
250210260,SĘDZISZÓW MAŁOPOLSKI,21.703611,50.078056,IMGW - posterunek opadowy,IMGW-PIB,210,2006
249180170,BŁATNIA,18.9425,49.746944,IMGW - posterunek opadowy,IMGW-PIB,882,2005
249190150,STRÓŻA,19.9175,49.796389,IMGW - posterunek opadowy,IMGW-PIB,330,1946
249200470,KRYNICA,20.960833,49.407778,IMGW - stacja klimatologiczna,IMGW-PIB,594,1867
249220230,LUTOWISKA,22.683333,49.243056,IMGW - posterunek opadowy,IMGW-PIB,666,1955
249220310,WETLINA,22.471944,49.144722,IMGW - stacja klimatologiczna,IMGW-PIB,708,1955
249220270,KALNICA,22.424167,49.197222,IMGW - posterunek opadowy,IMGW-PIB,577,1985
249220220,POLANA,22.576667,49.303333,IMGW - stacja klimatologiczna,IMGW-PIB,458,1964
249220290,ROZTOKI GÓRNE,22.314444,49.153333,IMGW - stacja klimatologiczna,IMGW-PIB,700,1973
249220240,ŻUBRACZE,22.271667,49.208889,IMGW - stacja klimatologiczna,IMGW-PIB,623,1999
249220250,CISNA,22.331111,49.212778,IMGW - posterunek opadowy,IMGW-PIB,549,1953
249220080,SANOK-TREPCZA,22.185278,49.584722,IMGW - stacja klimatologiczna,IMGW-PIB,307,1945
249180070,MAZAŃCOWICE,18.969444,49.8625,IMGW - brak bieżących danych,IMGW-PIB,269,
249180090,RUDZICA,18.8825,49.853333,IMGW - brak bieżących danych,IMGW-PIB,337,1948
249180130,CIESZYN,18.648333,49.754167,IMGW - brak bieżących danych,IMGW-PIB,295,
249180630,KICZYCE,18.799722,49.821667,IMGW - brak bieżących danych,IMGW-PIB,283,2023
249190010,JAWISZOWICE,19.141944,49.959722,IMGW - brak bieżących danych,IMGW-PIB,260,1946
249190080,WADOWICE,19.518611,49.881944,IMGW - brak bieżących danych,IMGW-PIB,259,
249190220,ŚLEMIEŃ,19.353056,49.7175,IMGW - posterunek opadowy,IMGW-PIB,447,1965
249190230,LUBIEŃ,19.97,49.720833,IMGW - brak bieżących danych,IMGW-PIB,429,1946
249190270,OSIELEC,19.738889,49.678889,IMGW - brak bieżących danych,IMGW-PIB,439,1948
